,First Aid 21/106,First Aid Module 4 21/108,First Aid Module 5 21/110,First Aid Module 5 Custody 21/016,PPST - CUSTO 21/006,PPST - OFFIC 21/002,PPST - PCSO 21/004,PPST T3 - STAFF 21/004 21/006
2025-11,27.0,0.0,2.0,2.0,0.0,28.0,1.0,2.0
2025-12,64.0,0.0,0.0,0.0,0.0,53.0,12.0,13.0
2026-01,96.0,2.0,6.0,0.0,0.0,80.0,17.0,23.0
2026-02,84.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0
2026-03,102.0,0.0,1.0,0.0,0.0,87.0,7.0,12.0
2026-04,102.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0
2026-05,80.0,0.0,0.0,0.0,0.0,108.0,5.0,7.0
2026-06,62.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0
2026-07,118.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
2026-08,97.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0
2026-09,83.0,0.0,18.0,0.0,0.0,63.0,0.0,0.0
2026-10,81.0,3.0,0.0,0.0,1.0,67.0,0.0,0.0
2026-11,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
